state_name,population,median_household_income,renter_occupied_pct,mean_travel_time_to_work_minutes,state_fips
Alabama,5028092,1933150,1347792,17.9,01
Alaska,734821,264376,175198,21.7,02
Arizona,7172282,2739136,1815352,20.4,04
Arkansas,3018669,1171694,775956,19.6,05
California,39356104,13315822,7407361,18.2,06
Colorado,5770790,2278044,1507547,18.2,08
Connecticut,3611317,1409807,932588,20.3,09
Delaware,993635,389000,279923,19.9,10
District of Columbia,670587,315785,130865,46.5,11
Florida,21634529,8353441,5585924,22.6,12
Georgia,10722325,3946490,2565877,20.3,13
Hawaii,1450589,483906,298816,20.6,15
Idaho,1854109,675323,486279,13.7,16
Illinois,12757634,4968761,3312809,23.2,17
Indiana,6784403,2653596,1860566,18.7,18
Iowa,3188836,1290139,922684,16.8,19
Kansas,2935922,1148635,767875,17.3,20
Kentucky,4502935,1769102,1205067,18.9,21
Louisiana,4640546,1765264,1185633,23.6,22
Maine,1366949,580172,426239,18.6,23
Maryland,6161707,2318124,1564056,21.0,24
Massachusetts,6984205,2740995,1711341,24.1,25
Michigan,10057921,4009253,2906470,19.9,26
Minnesota,5695292,2256126,1631701,17.3,27
Mississippi,2958846,1121269,775465,19.2,28
Missouri,6154422,2458324,1661854,19.5,29
Montana,1091840,443917,306432,16.0,30
Nebraska,1958939,776379,516651,17.2,31
Nevada,3104817,1163671,679960,21.2,32
New Hampshire,1379610,545116,393945,15.8,33
New Jersey,9249063,3438162,2195831,22.9,34
New Mexico,2112463,812852,558179,19.8,35
New York,19994379,7604523,4128119,26.3,36
North Carolina,10470214,4105232,2717961,19.4,37
North Dakota,776874,320038,202213,17.7,38
Ohio,11774683,4789408,3200314,19.5,39
Oklahoma,3970497,1522711,1004078,19.8,40
Oregon,4229374,1680800,1062522,20.0,41
Pennsylvania,12989208,5193727,3593490,21.7,42
Rhode Island,1094250,432219,270950,21.2,44
South Carolina,5142750,2023085,1434662,19.7,45
South Dakota,890342,351182,240328,16.5,46
Tennessee,6923772,2713635,1819725,18.0,47
Texas,29243342,10490553,6545727,20.1,48
Utah,3283809,1062819,751652,13.2,49
Vermont,643816,265858,193222,20.2,50
Virginia,8624511,3289776,2199299,18.9,51
Washington,7688549,2979272,1900252,19.0,53
West Virginia,1792967,716040,531027,20.4,54
Wisconsin,5882128,2425488,1641590,18.7,55
Wyoming,577929,234156,168393,16.1,56
Puerto Rico,3272382,1219658,829943,24.6,72
