State,stations,level1_ports,level2_ports,dcfc_ports,last_confirmed_max,state_name,population,median_household_income,renter_occupied_pct,mean_travel_time_to_work_minutes,state_fips,chargers_per_100k
AL,2,0.0,2.0,1.0,2022-10-11,Alabama,5028092,1933150,1347792,17.9,1,0.03977651960226662
AR,2,0.0,10.0,0.0,2022-08-10,Arkansas,3018669,1171694,775956,19.6,5,0.06625436574861306
AZ,11,0.0,25.0,0.0,2022-11-10,Arizona,7172282,2739136,1815352,20.4,4,0.15336820275611027
CA,30,0.0,400.0,21.0,2022-12-13,California,39356104,13315822,7407361,18.2,6,0.0762270574343436
CO,5,0.0,14.0,0.0,2022-11-10,Colorado,5770790,2278044,1507547,18.2,8,0.08664324988433125
CT,18,0.0,50.0,0.0,2022-10-11,Connecticut,3611317,1409807,932588,20.3,9,0.4984331201054906
DC,13,0.0,80.0,0.0,2022-11-10,District of Columbia,670587,315785,130865,46.5,11,1.938600062333448
DE,2,0.0,3.0,0.0,2022-11-10,Delaware,993635,389000,279923,19.9,10,0.20128115454870252
FL,13,2.0,47.0,0.0,2022-11-10,Florida,21634529,8353441,5585924,22.6,12,0.06008912881810369
GA,4,0.0,9.0,0.0,2022-10-11,Georgia,10722325,3946490,2565877,20.3,13,0.03730534189180052
IA,2,0.0,4.0,0.0,2022-10-11,Iowa,3188836,1290139,922684,16.8,19,0.0627188102492571
IL,4,0.0,10.0,0.0,2022-10-11,Illinois,12757634,4968761,3312809,23.2,17,0.03135377609986303
IN,9,0.0,14.0,0.0,2022-12-13,Indiana,6784403,2653596,1860566,18.7,18,0.13265721390666207
KY,1,0.0,2.0,0.0,2022-11-10,Kentucky,4502935,1769102,1205067,18.9,21,0.02220773784209632
LA,1,0.0,4.0,0.0,2022-10-11,Louisiana,4640546,1765264,1185633,23.6,22,0.02154918839291756
MA,66,0.0,370.0,1.0,2022-11-10,Massachusetts,6984205,2740995,1711341,24.1,25,0.9449894440383694
MD,7,0.0,41.0,0.0,2022-11-10,Maryland,6161707,2318124,1564056,21.0,24,0.11360488254310047
ME,1,0.0,2.0,0.0,2022-10-11,Maine,1366949,580172,426239,18.6,23,0.07315561882703744
MI,18,0.0,55.0,7.0,2022-10-11,Michigan,10057921,4009253,2906470,19.9,26,0.17896342594060938
MN,2,0.0,3.0,0.0,2022-10-11,Minnesota,5695292,2256126,1631701,17.3,27,0.03511672448050074
MO,4,0.0,11.0,0.0,2022-12-13,Missouri,6154422,2458324,1661854,19.5,29,0.06499391819410498
MS,2,0.0,4.0,0.0,2022-08-10,Mississippi,2958846,1121269,775465,19.2,28,0.06759392006207825
NC,9,0.0,19.0,0.0,2022-12-13,North Carolina,10470214,4105232,2717961,19.4,37,0.08595812845850143
NH,4,1.0,8.0,0.0,2022-12-13,New Hampshire,1379610,545116,393945,15.8,33,0.28993701118432025
NJ,12,0.0,48.0,0.0,2022-10-11,New Jersey,9249063,3438162,2195831,22.9,34,0.12974287233204057
NM,1,1.0,0.0,0.0,2022-08-10,New Mexico,2112463,812852,558179,19.8,35,0.04733810722365315
NY,28,0.0,124.0,0.0,2022-11-10,New York,19994379,7604523,4128119,26.3,36,0.1400393580615832
OH,14,0.0,29.0,0.0,2022-11-10,Ohio,11774683,4789408,3200314,19.5,39,0.11889916696695783
OK,1,0.0,1.0,0.0,2022-03-07,Oklahoma,3970497,1522711,1004078,19.8,40,0.025185763898071197
OR,1,0.0,2.0,1.0,2022-06-14,Oregon,4229374,1680800,1062522,20.0,41,0.02364416105078435
PA,9,0.0,22.0,0.0,2022-11-10,Pennsylvania,12989208,5193727,3593490,21.7,42,0.06928828917051756
RI,7,0.0,45.0,0.0,2022-11-10,Rhode Island,1094250,432219,270950,21.2,44,0.6397075622572538
SC,10,1.0,12.0,3.0,2022-09-14,South Carolina,5142750,2023085,1434662,19.7,45,0.19444849545476642
TN,1,0.0,2.0,0.0,2022-10-11,Tennessee,6923772,2713635,1819725,18.0,47,0.014442994367809917
TX,10,0.0,28.0,0.0,2022-11-10,Texas,29243342,10490553,6545727,20.1,48,0.03419581797456665
VA,5,2.0,11.0,0.0,2022-10-11,Virginia,8624511,3289776,2199299,18.9,51,0.057974301383579896
VT,11,2.0,26.0,0.0,2022-10-11,Vermont,643816,265858,193222,20.2,50,1.7085626949314712
WA,26,0.0,77.0,2.0,2022-11-10,Washington,7688549,2979272,1900252,19.0,53,0.3381652376800876
WI,7,0.0,11.0,0.0,2022-10-11,Wisconsin,5882128,2425488,1641590,18.7,55,0.11900455073402007
WV,1,1.0,0.0,0.0,2022-02-10,West Virginia,1792967,716040,531027,20.4,54,0.05577347491615852
