NAME,S0101_C01_001E,S1901_C01_001E,S2502_C03_001E,S0801_C01_049E,state,county
"Atlantic County, New Jersey",274339,106640,72378,21.7,34,001
"Bergen County, New Jersey",953243,350843,228445,23.5,34,003
"Burlington County, New Jersey",461853,174454,132314,16.5,34,005
"Camden County, New Jersey",522581,198757,130036,22.1,34,007
"Cape May County, New Jersey",95456,43277,33950,20.4,34,009
"Cumberland County, New Jersey",153588,52584,34720,19.8,34,011
"Essex County, New Jersey",853374,312942,139811,32.4,34,013
"Gloucester County, New Jersey",302621,109996,87641,13.3,34,015
"Hudson County, New Jersey",712029,290054,93531,43.9,34,017
"Hunterdon County, New Jersey",129099,49676,41967,12.7,34,019
"Mercer County, New Jersey",383732,139549,87635,22.6,34,021
"Middlesex County, New Jersey",860147,301967,192805,21.9,34,023
"Monmouth County, New Jersey",643064,248117,187471,16.1,34,025
"Morris County, New Jersey",508816,189607,140016,16.4,34,027
"Ocean County, New Jersey",638691,239466,191328,16.6,34,029
"Passaic County, New Jersey",519986,177209,92827,25.5,34,031
"Salem County, New Jersey",64840,24744,17474,15.8,34,033
"Somerset County, New Jersey",344978,127566,96103,17.4,34,035
"Sussex County, New Jersey",144808,56348,47761,12.3,34,037
"Union County, New Jersey",572079,199996,115331,23.6,34,039
"Warren County, New Jersey",109739,44370,32287,15.9,34,041
